sourceid,PT,POI,Sr,Vm,PC,Buffer,Curb ramps,Lighting,Number of lanes,On-street parking,Width of bike lane and shoulder,Width of sidewalk,services,plos,plos_e
141332059,0,0,60,862.43,1,0.0,1.5,4.0,1.0,0.0,0.3,1.0,0.0,4.413685402299513,4.038685402299513
147963534,0,0,40,342.33,0,1.0,1.0,9.0,1.0,1.0,0.15,1.0,0.0,1.5223589030180484,1.2723589030180484
211245922,0,0,60,573.6,0,0.0,2.0,1.0,1.0,0.0,0.3,1.0,1.0,3.7565971522995136,3.3815971522995136
265635866,0,0,40,349.26,0,0.0,1.0,1.0,1.0,1.0,0.15,2.0,1.0,1.5827237874664029,1.2077237874664029
265635871,0,0,40,188.92,0,0.0,1.0,6.0,1.0,0.9,0.15,1.75,0.0,1.3173034974839224,1.0673034974839224
265635872,1,0,40,198.35,1,0.0,2.0,6.0,1.0,1.0,0.15,3.5,1.0,1.1334276461098405,0.5084276461098405
265635874,0,0,40,495.87,1,0.0,1.0,4.0,1.0,1.0,0.15,3.5,1.0,1.8102856461098407,1.3102856461098407
265635874,0,0,40,495.87,1,0.0,1.0,4.0,1.0,1.0,0.15,3.5,1.0,1.8102856461098407,1.3102856461098407
265635874,0,0,40,495.87,1,0.0,1.0,4.0,1.0,1.0,0.15,3.5,1.0,1.8102856461098407,1.3102856461098407
265635874,0,0,40,495.87,1,0.0,1.0,4.0,1.0,1.0,0.15,3.5,1.0,1.8102856461098407,1.3102856461098407
265635874,0,0,40,495.87,1,0.0,1.0,4.0,1.0,1.0,0.15,3.5,1.0,1.8102856461098407,1.3102856461098407
265635874,0,0,40,495.87,1,0.0,1.0,4.0,1.0,1.0,0.15,3.5,1.0,1.8102856461098407,1.3102856461098407
265635874,0,0,40,495.87,1,0.0,1.0,4.0,1.0,1.0,0.15,3.5,1.0,1.8102856461098407,1.3102856461098407
265635874,0,0,40,495.87,1,0.0,1.0,4.0,1.0,1.0,0.15,3.5,1.0,1.8102856461098407,1.3102856461098407
265635874,0,0,40,495.87,1,0.0,1.0,4.0,1.0,1.0,0.15,3.5,1.0,1.8102856461098407,1.3102856461098407
265635874,0,0,40,495.87,1,0.0,1.0,4.0,1.0,1.0,0.15,3.5,1.0,1.8102856461098407,1.3102856461098407
265635874,0,0,40,495.87,1,0.0,1.0,4.0,1.0,1.0,0.15,3.5,1.0,1.8102856461098407,1.3102856461098407
265635874,0,0,40,495.87,1,0.0,1.0,4.0,1.0,1.0,0.15,3.5,1.0,1.8102856461098407,1.3102856461098407
